,name,distance,moving_time,total_elevation_gain,workout_type,kudos_count,max_speed,average_heartrate,max_heartrate,pr_count,suffer_score,is_named,local_date,run_per_day,max_run,run_area,average_speed_mpk,datetime,hour,uk_awake,kfold
544,okokok,7.031899999999999,31.08333333333333,67.8,0.0,35,7.1,148.2,159.0,0,21.0,1,2020-07-08,2,0,19.072004943154752,4.4206896551724135,2020-07-08 07:47:07,7,1,2
545,🍳,10.6853,40.65,229.0,3.0,42,7.0,150.0,168.0,0,31.0,1,2019-12-07,4,1,10.505050158826634,3.804154302670623,2019-12-07 09:34:32,9,1,2
546,WD,6.4667,31.6,18.0,0.0,22,4.5,151.6,169.0,0,26.0,1,2021-03-05,4,0,1.020956551656127,4.885957197302844,2021-03-05 18:43:08,18,1,2
547,WU,4.839899999999999,22.08333333333333,9.0,0.0,16,4.4,136.7,155.0,0,6.0,1,2021-02-16,4,0,7.331900997087359,4.562277580071174,2021-02-16 21:08:24,21,0,1
548,de Mello and his flaccid sock ,14.0096,65.35,248.7,0.0,51,6.1,134.8,168.0,0,20.0,1,2020-06-18,1,1,30.67950456170365,4.6644276518331935,2020-06-18 08:55:09,8,1,2
549,8 mile tempo ,12.8685,41.16666666666666,13.0,3.0,75,7.4,164.5,192.0,3,64.0,1,2021-02-05,4,1,0.1860433258116245,3.198848368522073,2021-02-05 21:56:25,21,0,1
550,Man vs wind,13.291,45.083333333333336,17.5,3.0,42,7.5,148.3,174.0,2,28.0,1,2019-12-24,4,1,0.4115250249014934,3.3922247099531853,2019-12-24 09:14:02,9,1,2
551,Thanks for brightening up my run Sam,8.0597,36.3,33.0,0.0,36,4.8,147.1,162.0,0,24.0,1,2020-12-30,2,0,16.384810078307055,4.503107268305864,2020-12-30 17:14:58,17,1,2
552,Bread and butter 🍞 🧈 ,12.0028,38.56666666666667,63.6,3.0,74,7.0,167.7,200.0,0,69.0,1,2020-06-09,4,1,8.91039003363403,3.213032581453634,2020-06-09 16:46:08,16,1,1
553,Easy grass 🌴🎳,8.331100000000001,34.9,14.0,0.0,32,5.3,142.0,154.0,0,11.0,1,2020-07-22,2,0,3.2060650028142845,4.18848957024378,2020-07-22 16:45:00,16,1,2
554,Wake and shake ,8.1186,38.21666666666667,11.0,0.0,32,8.2,145.4,159.0,0,20.0,1,2020-10-16,5,1,4.532863385975361,4.706580062129342,2020-10-16 14:37:39,14,1,2
555,Longer aerobic with the Boise,18.0045,80.36666666666666,292.6,0.0,72,5.1,139.1,173.0,3,31.0,1,2020-08-26,2,1,0.7465132512152195,4.463310123192287,2020-08-26 14:02:28,14,1,1
556,Good stuff ,14.7631,63.81666666666667,194.9,0.0,50,6.1,148.1,175.0,0,39.0,1,2020-07-20,2,1,17.947504966286942,4.322095435684648,2020-07-20 07:37:26,7,1,2
